amount,dataset,date,longitude,latitude
12,CBERS4_AWFI_L4_SR,2017-01-22,-45.5,-4.5
13,CBERS4_AWFI_L4_SR,2017-01-23,-37.0,-4.5
8,CBERS4_AWFI_L4_SR,2017-01-24,-52.0,1.0
11,CBERS4_AWFI_L4_SR,2017-01-25,-43.5,1.0
13,CBERS4_AWFI_L4_SR,2017-01-26,-36.0,-4.5
10,CBERS4_MUX_L4_SR,2017-01-26,-36.0,-5.5
10,CBERS4_AWFI_L4_SR,2017-01-27,-51.0,1.0
10,CBERS4_AWFI_L4_SR,2017-01-28,-43.5,-4.5
12,CBERS4_AWFI_L4_SR,2017-01-29,-36.0,-9.5
2,CBERS4_AWFI_L4_DN,2017-01-30,-50.0,1.0
8,CBERS4_AWFI_L4_SR,2017-01-30,-52.5,-9.5
2,CBERS4_AWFI_L4_DN,2017-01-31,-42.5,-4.5
9,CBERS4_AWFI_L4_SR,2017-01-31,-45.0,-15.0
9,CBERS4_AWFI_L4_SR,2017-02-01,-34.0,-4.5
7,CBERS4_AWFI_L4_SR,2017-02-02,-50.5,-4.5
11,CBERS4_AWFI_L4_SR,2017-02-03,-41.5,-4.5
7,CBERS4_AWFI_L4_SR,2017-02-04,-58.0,-4.5
9,CBERS4_AWFI_L4_SR,2017-02-05,-48.5,1.0
11,CBERS4_AWFI_L4_SR,2017-02-06,-41.0,-4.5
8,CBERS4_AWFI_L4_SR,2017-02-07,-56.0,1.0
9,CBERS4_AWFI_L4_SR,2017-02-08,-48.5,-4.5
11,CBERS4_AWFI_L4_SR,2017-02-09,-40.0,-4.5
7,CBERS4_AWFI_L4_SR,2017-02-10,-55.0,1.0
9,CBERS4_AWFI_L4_SR,2017-02-11,-47.5,-4.5
12,CBERS4_AWFI_L4_SR,2017-02-12,-39.0,-4.5
7,CBERS4_AWFI_L4_SR,2017-02-13,-55.0,-4.5
7,CBERS4_AWFI_L4_SR,2017-02-14,-46.5,-4.5
13,CBERS4_AWFI_L4_SR,2017-02-15,-38.0,-4.5
7,CBERS4_AWFI_L4_SR,2017-02-16,-54.5,-4.0
9,CBERS4_AWFI_L4_SR,2017-02-17,-45.5,-4.5
11,CBERS4_AWFI_L4_SR,2017-02-18,-38.0,-9.5
6,CBERS4_AWFI_L4_SR,2017-02-19,-52.0,1.5
10,CBERS4_AWFI_L4_SR,2017-02-20,-44.5,-4.5
11,CBERS4_AWFI_L4_SR,2017-02-21,-36.0,-4.5
8,CBERS4_AWFI_L4_SR,2017-02-22,-51.0,1.0
10,CBERS4_AWFI_L4_SR,2017-02-23,-43.5,-4.5
11,CBERS4_AWFI_L4_SR,2017-02-24,-35.0,-4.5
8,CBERS4_AWFI_L4_SR,2017-02-25,-50.0,1.0
10,CBERS4_AWFI_L4_SR,2017-02-27,-34.0,-4.5
8,CBERS4_AWFI_L4_SR,2017-02-28,-49.0,1.0
13,CBERS4_AWFI_L4_SR,2017-03-01,-42.0,-4.5
8,CBERS4_AWFI_L4_SR,2017-03-02,-57.0,1.0
8,CBERS4_AWFI_L4_SR,2017-03-03,-48.5,1.0
13,CBERS4_AWFI_L4_SR,2017-03-04,-41.0,-4.5
8,CBERS4_AWFI_L4_SR,2017-03-05,-56.0,1.0
8,CBERS4_AWFI_L4_SR,2017-03-06,-48.5,-4.5
5,CBERS4_AWFI_L4_SR,2017-03-07,-40.0,-4.5
8,CBERS4_AWFI_L4_SR,2017-03-08,-55.0,1.0
9,CBERS4_AWFI_L4_SR,2017-03-09,-47.5,-4.5
12,CBERS4_AWFI_L4_SR,2017-03-10,-39.0,-4.5
7,CBERS4_AWFI_L4_SR,2017-03-11,-55.0,-4.0
8,CBERS4_AWFI_L4_SR,2017-03-12,-46.5,-4.5
12,CBERS4_AWFI_L4_SR,2017-03-13,-38.0,-4.5
7,CBERS4_AWFI_L4_SR,2017-03-14,-54.0,-4.0
10,CBERS4_AWFI_L4_SR,2017-03-15,-45.5,-4.5
12,CBERS4_AWFI_L4_SR,2017-03-16,-37.0,-4.5
8,CBERS4_AWFI_L4_SR,2017-03-17,-52.0,1.0
9,CBERS4_AWFI_L4_SR,2017-03-18,-44.5,-4.5
11,CBERS4_AWFI_L4_SR,2017-03-19,-36.0,-4.5
8,CBERS4_AWFI_L4_SR,2017-03-20,-51.0,1.0
11,CBERS4_AWFI_L4_SR,2017-03-21,-43.5,-4.5
12,CBERS4_AWFI_L4_SR,2017-03-22,-35.0,-4.5
8,CBERS4_AWFI_L4_SR,2017-03-23,-50.0,1.0
12,CBERS4_AWFI_L4_SR,2017-03-24,-42.5,-4.5
8,CBERS4_AWFI_L4_SR,2017-03-25,-35.0,-9.5
8,CBERS4_AWFI_L4_SR,2017-03-26,-49.0,1.0
9,CBERS4_AWFI_L4_SR,2017-03-27,-45.5,-20.5
